Countrycode,City,Type,Quarter,Variable,Value,Note
348,Budapest,Tram,1Q2021,PKM,153503,
348,Budapest,Tram,2Q2021,PKM,168055,
348,Budapest,Tram,3Q2021,PKM,212535,
348,Budapest,Tram,4Q2021,PKM,232574,
348,Debrecen,Tram,1Q2019,Pass,5267.1,
348,Debrecen,Tram,2Q2019,Pass,4792.7,
348,Debrecen,Tram,3Q2019,Pass,4421.1,
348,Debrecen,Tram,4Q2019,Pass,5132.6,
348,Debrecen,Tram,1Q2020,Pass,5165.9,
348,Debrecen,Tram,2Q2020,Pass,1609.5,
348,Debrecen,Tram,3Q2020,Pass,3295.8,
348,Debrecen,Tram,4Q2020,Pass,3346.2,
348,Debrecen,Tram,1Q2021,Pass,2630.1,
348,Debrecen,Tram,2Q2021,Pass,2537.6,
348,Debrecen,Tram,3Q2021,Pass,3130.9,
348,Debrecen,Tram,4Q2021,Pass,3901.3,
348,Debrecen,Tram,1Q2019,PKM,12219.7,
